Study number,Study authors & year,Number of samples,Number of mislabeled samples,fraction fish mislabeled,Fraud map category,Sampling Area (where retail fish purchased),Country,Date of Study,repeat?,fish name (sortable),seafood type,Label,Actual. (Latin),Actual. (Common),Species group,Total. N (mislabeled),Point in supply chain,Amount of processing,Notes,Health Risk,Species Geographic Range,IUCN Conservation Status,Reference ,Publishing date,Type of study,Website,In fraud map?,Fraud Map ID#,In endnote?,Mislabeling (DNA verified),Potentially Farmed?,farmed n,Fraud/mislabeling?,,,,,,,,,
8,Stoeckle & Strauss 2008,,,,,New York City,USA,,,kingfish,kingfish,kingfish,Scomberomorus cavalla,King mackerel,mackerel  ,1,retail,,,NT+P+H+M,,LC,,2008,,,yes,,yes,,,,,,,,,,,,,
8,Stoeckle & Strauss 2008,,,,,New York City,USA,,,"mullet, red",mullet,Mediterrranean red mullet,Pseudupeneus maculates,Spotted goatfish,goatfish,1,retail,,,NT,,LC,,2008,,,yes,,yes,,,,,,,,,,,,,
8,Stoeckle & Strauss 2008,,,,,New York City,USA,,,"roe, flying fish","roe, flying fish",Tobiko flying fish roe,Mallotus villosus,smelt,"roe, smelt",1,retail,,,P,,NE,,2008,,,yes,,yes,,,,,,,,,,,,,
8,Stoeckle & Strauss 2008,56,14,0.25,25-50,New York City ,USA,2008,,"snapper, Red",snapper,Red snapper,Lates niloticus,Nile perch,perch,1,retail,,"One-quarter of 56 fish samples from 14 stores, restaurants in Upper Manhattan mislabeled.",EC,,LC,"Stoeckle, K. and L. Strauss. 2008. Students use DNA barcodes to unmask ""mislabeled"" fish at grocery",2008,Student Report,,yes,6,yes,yes,yes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"stores, restaurants. http://phe.rockefeller.edu/mislabeledfish/Mislabelled%20fish.pdf. Accessed January",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"15, 2013",,,,,,,,,,,,,,,,,,,
8,Stoeckle & Strauss 2008,,,,,New York City,USA,,,"snapper, Red",snapper,Red snapper sushi,Gadus morhua,Atlantic cod,cod,1,retail,,,EC,,VU,,2008,,,yes,,yes,,,,,,,,,,,,,
8,Stoeckle & Strauss 2008,,,,,New York City,USA,2008,,"snapper, Red",snapper,Red snapper,Pinjalo lewisi,Slender pinjalo,snapper/pinjalo,1,retail,,,na,,NE,,2008,,,yes,,yes,,,,,,,,,,,,,
8,Stoeckle & Strauss 2008,,,,,New York City,USA,2008,,"snapper, Red",snapper,Red snapper,Pristipomoides sieboldii,Lavender jobfish,snapper/jobfish,1,retail,,,NT,,NE,,2008,,,yes,,yes,,,,,,,,,,,,,
8,Stoeckle & Strauss 2008,,,,,New York City,USA,2008,,"snapper, Red",snapper,Red snapper,Pristipomoides sieboldii,Lavender jobfish,snapper/jobfish,1,retail,,,NT,,NE,,2008,,,yes,,yes,,,,,,,,,,,,,
8,Stoeckle & Strauss 2008,,,,,New York City,USA,,,"snapper, Red",snapper,Red snapper,Sebastes fasciatus,Acadian redfish,redfish,1,retail,,IUCN red list,P,,EN,,2008,,,yes,,yes,,,,,,,,,,,,,
8,Stoeckle & Strauss 2008,,,,,New York City,USA,,,"snapper, Red",snapper,Red snapper,Sebastes fasciatus,Acadian redfish,redfish,1,retail,,IUCN red list,P,,EN,,2008,,,yes,,yes,,,,,,,,,,,,,
8,Stoeckle & Strauss 2008,,,,,New York City,USA,,,"snapper, White",snapper,white snapper,Urophycis tenuis,White hake,hake,1,retail,,,,,NE,,2008,,,yes,,yes,,,,,,,,,,,,,
8,Stoeckle & Strauss 2008,,,,,New York City,USA,,,"Tuna, White",Tuna,white tuna sushi,Oreochromis mossambicus,Mozambique tilapia,Tilapia,1,retail,,,EC+AqD,,,,2008,,,yes,,yes,,yes,1,,,,,,,,,,
9,Lowenstein et al. 2009,,,,,Denver and NYC,USA,,,"Tuna, Bigeye",Tuna,bigeye tuna,Thunnus albacares,yellowfin tuna,tuna,2,retail,,,M+H,,NT,,2009,,,yes,,yes,,,,,,,,,,,,,
9,Lowenstein et al. 2009,,,,,Denver and NYC,USA,,,"Tuna, Bigeye",Tuna,bigeye tuna,Thunnus thynnus,Atlantic bluefin tuna,tuna,3,retail,,Restaurants had bad publicity for serving endangered bluefin (3 cases),M+H,,EN,,2009,,,yes,,yes,,,,,,,,,,,,,
9,Lowenstein et al. 2009,68,22,0.32,25-50,Denver and NYC,USA,2008,,"Tuna, Bluefin",Tuna,bluefin tuna,Thunnus obesus,bigeye tuna,tuna,6,retail,sushi,"22/68 tuna sushi samples mislabeled, 9 more mis ID'ed by staff. Not fruad because ""tuna"" label can be any tuna in US FDA market names.",M+H,,VU,"Lowenstein, J. H., Amato, G., & Kolokotronis, S. O. (2009). The real. maccoyii: identifying tuna sushi with DNA barcodes--contrasting characteristic attributes and genetic distances. PLoS One, 4(11), e7866. doi: 10.1371/journal.pone.0007866",2009,Peer Reviewed Journal. Article,,yes,7,yes,yes,,,,,,,,,,,,
9,Lowenstein et al. 2009,,,,,Denver and NYC,USA,,,"Tuna, Bluefin",Tuna,bluefin tuna,Thunnus albacares,yellowfin tuna,tuna,3,retail,,,M+H,,NT,,2009,,,yes,,yes,,,,,,,,,,,,,
9,Lowenstein et al. 2009,,,,,Denver and NYC,USA,,,"Tuna, White",Tuna,white tuna,Lepidocybium flavobrunneum,escolar,Escolar/oilfish,4,retail,,,M+H+P,,LC,,2009,,,yes,,yes,,,,,,,,,,,,,
9,Lowenstein et al. 2009,,,,,Denver and NYC,USA,,,"Tuna, Yellowfin",Tuna,yellowfin tuna,Thunnus obesus,bigeye tuna,tuna,4,retail,,,M+H,,VU,,2009,,,yes,,yes,,,,,,,,,,,,,
10,NOAA press release 2010,,,,instance,FL and AL,USA,2005,,grouper,grouper,Grouper,Pangasius hypophthalmus,Striped Catfish (Swai/ Sutchi) ,"catfish, asian ",1,import,,,EC+AqD,,,"NOAA Office of Law Enforcement (2010). Three individuals indicted for false labeling, smuggling, and misbranding of seafood products.  Retrieved from http://www.nmfs.noaa.gov/ole/news/news_sed_012810.htm.",2010,Government Report,,yes,9,yes,yes,yes,1,,,,,,,,,,
10,NOAA press release 2010,,,,,FL and AL,USA,,,grouper,grouper,Grouper,Lates niloticus,Nile perch,perch,1,import,,,EC,,LC,,2010,,,yes,,yes,,yes,,,,,,,,,,,
10,NOAA press release 2010,,,,,FL and AL,USA,2004-2006,,sole,sole,Sole,Pangasius hypophthalmus,Striped Catfish (Swai/ Sutchi) ,"catfish, asian ",,import,,"Indictment for  > 325,000 lbs of mislabeled fish in 2004-2006",EC+AqD,,,,2010,,,yes,,yes,,yes,1,,,,,,,,,,
11,Wolf 2009,38,23,0.61,50-75,,USA,2008,,eel,eel,Eel,Not Specified,Not Specified,Not Specified,1,retail,,"3,000 packs of eel were falsely labeled and sold to Toyko wholesaler for 1.71 million yen",,,,"Wolf, I. (2009). Bice busted: Eateries caught in fish fraud, Chicago Sun-Times. Retrieved from http://www.nova.edu/ocean/ghri/forms/news-chicago-sun-times-bice-busted-eateries-caught-in-fish-fraud.pdf, last accessed 6/2015.",2009,Journalism (Secondary),,yes,10,yes,,,,,,,,,,,,,
11,Wolf 2009,,,,,"Tampa, FL",USA,2009,,grouper,grouper,Grouper,Not Specified,Catfish,"catfish, asian ",1,retail,,Acropolis Greek Tavern intentionally mislabeled product,EC+AqD,,,,2009,,,yes,,yes,,yes,1,,,,,,,,,,
11,Wolf 2009,,,,,"Kansas City, MO",USA,2009,,grouper,grouper,Grouper,Not Specified,Catfish,"catfish, asian ",1,retail,,Bice Bistro admitted to mislabeling after NBC action news testsed fish,EC+AqD,,,,2009,,,yes,,yes,,yes,1,,,,,,,,,,
11,Wolf 2009,,,,,"Baltimore, MD",USA,2009,,grouper,grouper,Grouper,Not Specified,Catfish,"catfish, asian ",1,retail,,"Luna del Sol was selling ""grilled grouper"" for $25 and it was actually catfish",EC+AqD,,,,2009,,,yes,,yes,,yes,1,,,,,,,,,,
11,Wolf 2009,,,,,,USA,2008,,grouper,grouper,Grouper/Sole,Not Specified,Catfish,"catfish, asian ",1,retail,,Sterling Seafood CEO Thomas George fined for intentionally mislabeling catfish from Vietnam to avoid antidumping tariffs,EC+AqD,,,,2009,,,,,yes,,yes,1,,,,,,,,,,
11,Wolf 2009,,,,,,USA,2008,,grouper,grouper,Grouper/Sole,Not Specified,Catfish,"catfish, asian ",1,retail,,"Virginia Star Seafood and International. Sea Products caught mislabeling product to avoid tariffs fined up to $250,000",EC+AqD,,,,2009,,,,,yes,,yes,1,,,,,,,,,,
11,Wolf 2009,,,,,California,USA,2005,,lobster,lobster,Lobster,Not Specified,Langoustino,lobster,1,retail,,"Rubios fast food was found to have langoustino in their ""lobster burrito"" upon complaint they would not change their menu",,,,,2009,,,yes,,yes,,,,,,,,,,,,,
11,Wolf 2009,,,,,Canada,USA,2009,,"snapper, Red",snapper,Red Snapper,Oreochromis spp.,Tilapia,Tilapia,10,retail,,10 out of 12 sushi samples labeled as red snapper was actually tilapia,EC+AqD,,,,2009,,,yes,,yes,,yes,10,,,,,,,,,,
11,Wolf 2009,,,,,"Phoenix,AZ",USA,2009,,"snapper, Red",snapper,Red Snapper,Oreochromis spp.,Tilapia,Tilapia,1,retail,,JK Sushi admitted to mislabeling after news team reported them,EC+AqD,,,,2009,,,yes,,yes,,yes,1,,,,,,,,,,
11,Wolf 2009,,,,,,USA,2010,,sole,sole,Grouper/Sole,Not Specified,Catfish,"catfish, asian ",1,retail,,Sterling Seafood CEO Thomas George fined for intentionally mislabeling catfish from Vietnam to avoid antidumping tariffs,EC+AqD,,,,2009,,,,,yes,,yes,1,,,,,,,,,,
11,Wolf 2009,,,,,,USA,2008,,sole,sole,Grouper/Sole,Not Specified,Catfish,"catfish, asian ",1,retail,,"Virginia Star Seafood and International. Sea Products caught mislabeling product to avoid tariffs fined up to $250,000",EC+AqD,,,,2009,,,,,yes,,yes,1,,,,,,,,,,
12,Logan et al. 2008,77,52,0.67,50-75,California and Washington,USA,2008,,"snapper, Red",snapper,"""Pacific red snapper""",Sebastes spp.,rockfish ,rockfish,55,retail,,"77 samples sold as Pacific Red snapper, highlightling use of common name hides overfished species; only 1 was the true red snapper",P,,,"Logan, C. A., Alter, S. E., Haupht, A. J., Tomalty, K., & Palumbi, S. R. (2008). An impediment to consumer choice: overfished species are sold as Pacific red snapper. Biological. Conservation, 141, 1591-1599. doi: doi:10.1016/j.biocon.2008.04.007",2008,Peer Reviewed Journal. Article,,yes,11,yes,yes,,,,,,,,,,,,
12,Logan et al. 2008,,,,,California and Washington,USA,,,"snapper, Red",snapper,"""Pacific red snapper""",Oreochromis spp.,Tilapia,Tilapia,1,retail,,,EC+AqD,,,,2008,,,yes,,yes,,yes,1,,,,,,,,,,
15,Abelson 2011,183,87,0.48,25-50,"Boston, MA",USA,2011,,"Bass, Striped",bass,Striped bass,Ambloplites rupestris,Rock Bass,bass,1,retail (grocery/restaurant/market),,"according to FDA, ""bass"" is an acceptable name for both",EC,,LC,"Abelson, Jenn and Beth Daley. ""On the Menu, but Not on Your Plate."" The Boston Globe, October 23, 2011.",2011,Journalism,,yes,14,yes,yes,,,,,,,,,,,,
15,Abelson 2011,,,,,"Boston, MA",USA,2011,,"Bass, Striped",bass,Striped bass,Oreochromis spp.,Tilapia,Tilapia,1,retail (grocery/restaurant/market),,,EC+AqD,,,,2011,,,yes,,yes,,yes,1,,,,,,,,,,
15,Abelson 2011,,,,,"Boston, MA",USA,2011,,"Bass, Striped",bass,Striped bass,Ambloplites rupestris,Rock Bass,bass,1,retail (grocery/restaurant/market),,"according to FDA, ""bass"" is an acceptable name for both",EC,,LC,,2011,,,yes,,yes,,,,,,,,,,,,,
15,Abelson 2011,,,,,"Boston, MA",USA,2011,,"Bass, Striped",bass,Striped bass,Ambloplites rupestris,Rock Bass,bass,1,retail (grocery/restaurant/market),,"according to FDA, ""bass"" is an acceptable name for both",EC,,LC,,2011,,,yes,,yes,,,,,,,,,,,,,
15,Abelson 2011,,,,,"Boston, MA",USA,2011,,"Bass, Striped",bass,Striped bass,Ambloplites rupestris,Rock Bass,bass,1,retail (grocery/restaurant/market),,"according to FDA, ""bass"" is an acceptable name for both",EC,,LC,,2011,,,yes,,yes,,,,,,,,,,,,,
15,Abelson 2011,,,,,"Boston, MA",USA,2011,,"Bass, Striped",bass,Striped bass,Ambloplites rupestris,Rock Bass,bass,1,retail (grocery/restaurant/market),,"according to FDA, ""bass"" is an acceptable name for both",EC,,LC,,2011,,,yes,,yes,,,,,,,,,,,,,
15,Abelson 2011,,,,,"Boston, MA",USA,2011,,"Bass, Striped",bass,Striped bass,Ambloplites rupestris,Rock Bass,bass,1,retail (grocery/restaurant/market),,"according to FDA, ""bass"" is an acceptable name for both",EC,,LC,,2011,,,yes,,yes,,,,,,,,,,,,,
15,Abelson 2011,,,,,"Boston, MA",USA,2011,,"Bass, Striped",bass,Striped bass,Ambloplites rupestris,Rock Bass,bass,1,retail (grocery/restaurant/market),,"according to FDA, ""bass"" is an acceptable name for both",EC,,LC,,2011,,,yes,,yes,,,,,,,,,,,,,
15,Abelson 2011,,,,,"Boston, MA",USA,2011,,"Bass, Striped",bass,Striped bass,Ambloplites rupestris,Rock Bass,bass,1,retail (grocery/restaurant/market),,"according to FDA, ""bass"" is an acceptable name for both",EC,,LC,,2011,,,yes,,yes,,,,,,,,,,,,,
15,Abelson 2011,,,,,"Boston, MA",USA,2011,,"Bass, Striped",bass,Striped bass,Dicentrarchus labrax,European Sea Bass (Branzino),"bass, Sea",1,retail (grocery/restaurant/market),,"FDA: ok to market as ""sea bass"" - not same genus as striped bass",P+EC+AqD,Europe,LC,,2011,,,yes,,yes,,yes,1,,,,,,,,,,
15,Abelson 2011,,,,,"Boston, MA",USA,2011,,cod,cod,Fresh cod,Gadus macrocephalus,Pacific cod (or Alaska cod),cod,1,retail (grocery/restaurant/market),,not sure if this counts as fraud - though probably not fresh,P,,NE,,2011,,,yes,,yes,,,,,,,,,,,,,
